Blog	travel	master	nature	crowd	grandma	article	west	scott	research	general	account	false	tape	riding	willing	artist	production	daniel	dogs	aunt	tony	shared	foot	inspired	bless	toward	grant	obviously	similar	links	university	key	tuesday	speaking	miles	seat	label	hardcore	extended	download	eggs	easter	yard	reached	success	dressed	excellent	football	cards	cheap	jazz	direction	focus	adventure	hill	king	solo	flight	meaning	include	chose	joe	jon	term	rare	blogs	kinda	spoke	machine	twitter	heading	legs	copy	babies	data	records	breath	laughed	act	ah	dawn	states	html	relationship	basically	sea	community	santa	results	jesus	clearly	email	appeared	official	families	minor	hall	em	en	et	ep	pray	classic	recorded	till	ben	kick	candy	daddy	skin	texas	vinyl	language	according	nose	students	titled	search	throughout	create	bill	y	per	island	honestly	bus	path	ma	ms	program	presentation	design	scared	usual	member	series	showed	doors	camp	planned	previous	sigh	se	um	un	uk	race	packed	bike	interest	japan	created	board	appear	january	album	cars	british	national	asleep	ya	jeff	based	gonna	whose	meal	featured	mini	regular	explain	sugar	website	kim	character	bass	keith	cheese	nearly	blessed	bible	members	para	recording	extremely	common	fans	purpose	gifts	actual	limited	request	hospital	london	report	trust	cook	unfortunately	heat	heather	thursday	v	mommy	problems	river	van	holy	release	result	east	creative	slightly	offer	sale	social	blues	continued	paul	literally	archive	reality	familiar	youtube	mentioned	career	bay	suppose	wanna	slept	mark	bags	doctor	bread	build	lines	unless	player	metal	characters	precious	wood	review	kill	fat	trouble	various	whom	edge	york	chicken	english	goodness	singer	dave	split	decision	originally	internet	formed	former	november	uploaded	festival	thanksgiving	web	provide	easily	musical	prayer	nor	thankful	ring	vocals	america	discovered	stars	tracks	horse	grey	popular	wave	michael	allowed	hits	lose	library	north	likely	fantastic	tells	ears	cousin	seven	journey	performance	among	consider	images	restaurant	despite	que	justin	colors	conference	posts	guitar	lisa	christian	weight	musicians	peace	museum	clip	thus	perhaps	press	incredible	japanese	kelly	fairly	possibly	unique	bloody	vacation	period	image	content	pics	author	grace	moon	challenge	led	les	shall	animal	allow	david	study	strength	dc	da	du	dr	background	blast	hell	indeed	entirely	okay	concert	media	speed	towards	famous	faith	sharing	halloween	hadn	ha	recommend	shit	digital	effort	pizza	paid	seconds	videos	material	stood	airport	delicious	paint	mama	le	lo	lp	studio	greatest	bands	na	mso	performed	brothers	included	worse	tea	mission	reasons	pt	san	steve	issues	cross	example	price	bright	screen	joined	gorgeous	gold	available	readers	format	lord	magic	score	highly	war	becoming	grateful	certainly	presented	lol	cookies	damn	positive	noise	perfectly	demo	peter	attempt	modern	folks	managed	file	film	chris	simply	mid	interview	jack	weren	tom	plenty	expected	grab	released	chinese	remix	session	sex	ear	piano	mike	student	debut	ate	falling	punk	pages	via	plane	bowl	europe	doubt	involved	haha	market	james	flowers	albums	performances	reach	plays	artists	force	grade	somewhat	lyrics	grown	milk	french	california	everyday	particular	gotten	youth	mountain	entry	google	favourite	dan	sadly	text	practice	blessings	j	paris	christ	difference	bathroom	hearts	wide	energy	suddenly	font	notes	closer	el	er
The Primms	1	0	0	2	1	0	2	86	0	0	0	0	0	2	0	0	3	0	1	4	13	0	0	1	1	0	9	5	0	0	0	2	8	1	3	1	0	0	1	0	3	7	3	2	0	4	1	4	3	1	1	3	0	1	3	0	0	2	2	0	5	2	0	2	1	2	1	0	0	0	0	1	1	1	0	0	1	2	1	1	0	0	0	0	1	2	0	2	1	4	1	1	0	2	2	0	2	1	0	0	0	0	0	1	0	0	1	5	1	1	1	0	0	5	0	6	0	0	1	1	1	0	0	2	4	1	0	0	0	2	0	0	1	2	2	0	3	1	0	4	0	2	0	0	0	0	2	3	6	0	0	0	3	1	8	0	4	0	1	1	1	0	0	9	0	3	0	2	1	1	6	1	1	0	0	0	2	0	7	2	2	0	0	6	0	2	1	2	1	1	0	0	0	1	0	0	2	4	0	8	0	0	1	4	0	0	0	0	1	4	0	0	0	0	1	1	0	1	0	1	0	0	2	0	1	0	0	4	0	1	4	4	4	1	3	0	0	2	5	2	0	1	1	2	0	1	0	0	8	0	3	0	6	0	5	0	1	0	0	1	0	0	8	0	0	0	6	1	2	1	1	0	2	1	0	1	1	0	0	0	0	2	1	2	0	0	0	9	0	3	2	0	1	0	1	0	0	3	2	0	1	0	0	5	2	0	6	0	1	1	2	0	0	0	0	3	0	0	0	1	0	0	20	0	0	1	10	0	0	0	5	0	1	2	5	1	0	4	1	0	0	0	1	0	6	1	2	0	0	3	0	1	1	1	1	1	3	5	3	0	0	1	1	4	2	1	1	0	0	1	2	4	0	0	0	0	0	4	0	0	0	0	1	1	4	5	2	1	0	1	1	0	5	1	0	2	0	1	2	2	0	1	0	5	0	3	0	1	2	2	0	0	0	2	0	0	1	2	0	0	0	0	0	1	0	0	2	0	2	1	2	8	0	0	5	0	0	0	0	1	0	1	0	1	4	0	18	0	0	0	0	1	4	0	2	2	1	2	0	0	1	0	0	1	0	0	9	2	0	0	0	0	1	8	1	3	0	0	0	0	0	0	0	1	2	0	1	0	1	5	2	1	0	4	0	0	0	2	7	1
www.djvaggelis.gr	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Poet You Never Were	0	0	2	2	0	0	6	10	0	1	1	0	7	0	1	0	4	2	2	0	3	4	0	4	0	0	0	5	8	2	2	2	1	1	2	1	22	225	1	3	0	0	1	0	0	0	3	0	0	0	4	3	1	0	0	6	1	2	0	1	0	0	3	1	5	3	1	1	5	0	0	0	3	1	1	113	2	0	3	1	1	3	0	0	0	0	6	1	0	0	0	1	3	1	0	4	4	5	1	3	38	0	4	46	2	0	1	1	0	0	9	17	0	1	0	0	23	1	5	10	0	5	2	0	1	0	5	2	0	1	0	0	0	2	9	4	3	1	0	1	4	0	0	0	0	9	1	2	2	1	4	4	3	1	10	47	0	3	1	0	0	5	17	4	3	0	13	1	2	2	0	3	0	1	49	0	0	3	0	2	130	0	20	4	2	12	2	0	0	3	1	0	4	2	2	0	4	0	0	0	3	0	6	2	6	3	23	3	7	2	2	0	0	5	2	2	14	1	0	0	1	1	0	9	7	1	2	0	9	1	0	2	1	5	0	6	25	0	1	3	5	11	0	0	10	2	12	4	0	3	2	15	3	125	2	11	1	38	15	7	0	5	1	0	3	3	15	0	1	0	3	73	5	0	1	25	1	3	1	3	4	0	4	0	0	14	2	2	1	1	0	17	1	2	9	4	1	0	4	0	2	0	0	0	57	1	0	1	3	0	0	0	2	1	4	3	7	0	2	4	5	1	0	2	0	2	0	0	1	0	0	1	1	3	1	0	3	0	2	5	0	2	1	0	6	7	0	1	0	2	3	8	3	1	1	6	0	0	1	2	16	0	4	0	1	7	0	17	2	0	0	0	0	2	0	61	11	3	145	0	0	3	2	10	0	1	2	1	1	12	8	2	10	2	3	3	2	10	0	0	2	0	2	1	3	0	4	3	2	1	4	0	0	0	0	1	22	0	40	1	2	5	2	3	9	1	17	4	18	1	3	0	1	2	1	1	110	0	3	6	3	3	3	9	0	11	0	1	100	1	7	9	0	11	0	3	0	1	4	0	14	1	1	17	1	7	2	3	26	1	0	5	10	2	3	0	8	2	1	0	0	5	3	1	4	0	1	2	2	0	0	5	2	9	0	0	2	2	1	0
BB'R666	1	2	8	2	0	1	3	1	0	2	1	2	14	0	1	11	1	3	4	6	1	3	1	0	1	0	0	0	0	0	0	2	0	0	0	0	478	2	1	362	0	1	1	0	0	0	0	0	1	0	2	0	1	0	1	3	0	2	3	0	1	3	0	0	1	0	0	0	17	0	0	2	0	0	0	74	0	0	8	5	10	0	2	1	0	5	0	1	0	11	0	0	0	0	0	0	1	1	14	13	24	2	0	32	2	0	0	0	0	29	0	188	2	0	0	0	0	1	0	0	1	8	4	2	0	0	2	6	6	1	0	1	0	0	1	10	0	3	0	0	0	0	2	5	59	3	1	0	0	0	3	1	0	0	0	65	0	0	6	1	0	0	2	0	0	2	0	16	0	0	0	0	0	0	0	1	0	0	1	4	0	0	7	2	3	0	2	0	0	291	0	14	4	2	1	0	0	0	1	0	28	0	0	1	1	14	10	0	1	0	0	0	2	2	2	0	3	0	10	1	0	0	0	0	0	0	2	0	9	0	1	1	0	0	0	1	10	0	0	1	0	20	1	1	94	0	6	1	1	0	0	0	1	30	0	7	0	0	0	5	0	14	0	4	0	0	0	1	0	0	0	11	1	0	1	12	4	44	0	1	4	0	0	1	0	0	0	0	0	2	0	0	2	2	1	0	1	0	0	1	0	0	0	0	2	0	5	0	0	2	0	0	0	0	1	0	5	1	0	0	0	7	0	1	0	1	0	0	6	6	12	0	42	4	47	0	1	0	0	0	0	24	5	0	0	2	0	0	0	0	7	5	1	0	10	3	0	0	3	0	21	1	0	1	1	1	0	6	0	0	0	2	0	52	1	123	9	0	0	0	0	1	0	1	0	0	7	0	19	2	1	1	0	0	3	0	1	0	0	0	0	0	264	7	3	0	0	23	1	0	0	0	0	0	0	0	182	0	0	7	1	17	0	0	2	11	0	0	0	2	7	0	1	0	0	0	16	0	16	2	17	1	2	0	0	0	0	1	9	1	0	2	0	11	0	0	0	1	2	4	0	0	0	2	1	11	0	0	2	0	0	4	0	1	0	0	6	1	0	0	0	0	0	0	0	0	19	2	9	0	5	1	0	0	0	0	5	1	10	3
Proskynesis	0	1	0	0	0	1	7	2	0	0	0	1	17	0	0	3	1	2	2	0	2	0	0	14	1	1	1	0	2	4	0	0	0	0	19	0	14	10	3	505	0	1	0	0	0	0	14	0	0	0	28	0	1	1	0	8	29	1	0	0	0	4	0	1	3	0	0	0	6	0	0	0	0	0	0	18	1	0	8	0	8	0	2	0	0	3	0	1	0	14	0	0	0	19	0	0	4	10	0	0	15	0	4	124	4	1	0	0	1	1	2	2	4	0	0	0	9	3	0	0	5	22	1	0	0	0	0	14	0	2	0	1	1	3	9	0	0	9	0	2	0	0	0	7	2	2	13	0	0	0	7	2	0	0	4	162	0	0	0	0	1	0	3	6	0	0	0	0	0	0	1	6	9	1	26	1	0	3	0	0	18	0	13	1	0	0	0	0	0	5	0	1	17	2	2	1	3	1	0	0	16	2	8	9	6	4	15	1	4	0	1	0	1	0	19	0	8	0	0	3	0	3	0	6	0	0	7	0	7	0	1	1	1	0	0	2	31	0	0	2	0	10	0	2	3	0	2	15	0	24	0	9	9	31	0	0	0	44	0	7	3	32	0	0	0	1	0	0	0	0	5	22	3	0	1	27	4	1	3	13	12	0	1	4	0	0	0	0	0	1	0	0	2	10	8	0	0	0	1	0	3	0	1	1	28	4	0	0	9	1	0	0	0	1	1	0	2	0	0	0	5	6	0	1	5	0	0	0	1	11	0	0	2	2	4	0	33	3	0	1	3	9	2	0	1	12	0	0	0	34	2	2	0	21	3	0	12	0	0	0	5	0	3	0	0	3	0	5	0	0	0	0	0	8	3	4	7	2	38	34	0	6	2	2	0	0	0	1	5	7	7	0	2	0	0	1	0	9	0	2	0	0	0	2	4	9	2	17	1	1	0	0	0	0	1	0	22	0	26	3	0	4	0	0	0	2	6	2	3	19	4	2	7	0	3	1	128	4	2	18	13	0	6	5	0	26	0	1	56	0	0	0	0	8	0	1	0	0	7	0	43	1	0	10	1	0	0	0	26	0	5	2	1	0	0	0	5	3	3	2	5	1	6	0	0	0	12	7	3	0	0	1	1	1	0	0	0	2	3	4
Mancillas Family	2	1	2	1	0	0	1	0	1	3	0	3	1	4	2	0	0	0	5	6	0	3	1	0	4	0	0	1	2	0	3	1	15	4	0	4	0	0	0	0	0	4	2	2	1	1	1	9	2	0	0	8	4	3	0	0	0	1	5	4	2	3	2	0	2	0	0	3	1	1	10	1	0	0	0	0	3	0	6	1	1	3	2	10	0	1	0	4	2	19	3	0	0	4	13	0	1	10	0	0	0	17	1	0	3	3	5	3	10	0	66	0	4	1	2	3	0	1	7	1	0	1	4	6	2	5	12	0	0	0	2	0	4	1	0	15	4	1	5	6	3	0	0	0	1	1	4	3	0	2	0	2	1	1	1	3	0	1	4	2	1	6	0	0	3	3	0	1	1	4	0	2	3	4	1	0	13	1	37	4	2	2	0	5	1	7	18	10	1	0	1	3	0	0	11	2	1	4	0	6	2	7	2	5	1	1	1	1	2	2	0	1	0	0	0	3	1	6	0	1	1	0	4	0	1	0	0	1	4	0	6	3	6	1	7	1	1	0	11	0	2	1	0	3	0	2	1	1	11	1	1	0	11	2	2	0	0	0	0	2	0	2	6	0	2	2	0	2	6	22	1	0	3	1	2	0	0	1	2	0	0	5	3	7	0	7	1	4	5	3	5	12	11	1	1	3	1	8	0	0	3	4	8	1	2	0	3	4	0	9	0	0	0	0	0	0	0	0	0	0	1	0	5	1	2	1	2	1	25	2	5	2	0	1	2	20	1	8	8	0	0	1	2	1	8	0	0	1	0	10	0	4	6	6	25	3	4	11	7	1	0	0	0	19	6	1	3	1	0	3	5	0	3	0	0	0	0	2	1	0	12	0	0	0	2	10	0	5	4	7	1	1	6	2	6	1	1	4	0	5	0	0	2	14	1	4	2	0	3	4	1	0	0	4	0	4	2	3	0	0	2	0	3	1	0	0	0	3	1	0	0	3	0	5	2	0	0	0	0	0	0	0	2	0	2	1	9	2	0	2	0	3	4	0	2	2	4	0	0	0	0	0	8	3	1	1	4	1	9	7	2	8	1	15	3	6	0	2	0	0	0	0	2	0	0	3	0	0	20	4	5	8	0	1	0	2	0	3	4	0
welcometohell	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	1	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Let's Put the Kettle On	28	3	5	3	5	3	8	13	2	3	5	3	1	6	2	2	2	1	14	1	2	14	12	11	18	46	1	6	3	2	1	3	22	10	20	12	0	0	6	1	20	5	3	1	8	5	12	3	3	3	0	7	10	19	4	6	0	37	9	10	6	8	1	8	3	2	4	15	3	1	7	5	7	15	0	6	8	10	8	8	9	51	0	8	7	4	24	26	2	26	2	16	5	3	13	0	13	1	2	1	0	33	3	2	26	1	4	1	3	19	0	0	6	2	35	17	0	2	10	1	7	0	9	4	18	21	8	0	5	6	1	1	5	1	4	2	6	3	25	8	0	13	0	1	11	6	6	10	2	3	2	3	5	5	7	18	3	2	5	18	2	0	6	9	7	12	3	2	4	12	8	7	0	0	0	0	3	5	34	2	6	2	0	8	8	3	7	23	11	7	2	12	18	4	8	4	0	14	229	16	2	4	6	15	6	4	10	5	22	12	17	6	1	3	2	2	3	8	0	18	10	0	10	1	2	16	1	14	3	25	21	18	10	8	7	4	1	1	19	8	12	10	7	4	8	11	10	1	7	15	20	0	8	1	3	1	24	4	1	5	0	1	7	0	4	11	2	83	5	83	2	1	5	6	10	1	6	18	1	8	3	5	5	2	1	4	9	2	9	2	7	2	30	0	18	12	3	6	3	0	1	12	2	6	14	70	6	2	1	21	1	6	1	10	3	8	0	17	11	12	1	1	3	2	7	5	1	4	20	15	6	11	0	5	3	13	6	4	7	4	0	0	3	0	0	2	4	10	0	3	1	8	0	5	17	10	0	7	19	2	0	1	7	1	2	2	5	3	17	39	2	2	20	1	3	0	0	5	1	0	11	2	15	8	8	65	9	13	4	2	7	17	12	0	3	21	7	7	6	7	11	2	0	24	3	1	10	8	7	5	14	3	0	4	3	6	9	6	0	14	3	0	23	5	1	15	2	17	6	0	13	11	0	13	5	4	7	1	0	3	1	7	12	5	5	3	13	6	0	4	3	18	7	26	6	9	0	5	1	17	3	0	10	6	0	3	8	7	6	15	17	2	39	0	5	1	3	6	3	0	0	3	8	5	11	7	1	1	13	10	5	26	13	7	12	2	26	11	1	0
♥Vodka	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	8	0	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	0	0	0	0	1	7	0	0	2	0	1	2	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	128	0	0	0	0	2	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	2	0	3	0	0	0	0	2	0	8	2	0	1	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	38	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	3	0	0	1	1	0	0	0	0	0	1	0	5	0	1	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	4	0	0	0	0	1	0	0	1	3	0	0	0	0	0	1	2	0	0	0	0	8	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	3	0	0	2	2	1	0	0	0	1	0	0	0	0	1	2	0	2	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	2	0	0	0	0	0	0	3	0	5	0	2	0	3	0	0	0	0	4	0	0	0	0	0	11	0	0	0	0	0	0	2	0	0	4	1	0	0	0	0	0	5	0	0	0	1	0	8	0	0	6	0	19	0	7	2	0	0	0	0	0	5	0	0	0	0	0	1	0	1	0	0
Momentary Enjambments	0	2	3	4	6	0	4	0	4	5	15	3	0	0	3	4	0	3	0	5	6	5	5	8	0	0	0	7	0	0	1	8	1	2	5	1	1	4	2	0	0	0	0	6	0	4	1	2	0	1	1	0	6	2	1	0	0	1	4	7	2	1	0	8	3	1	0	1	2	0	3	3	5	4	0	0	6	9	2	3	3	1	1	17	3	0	1	0	1	0	7	1	0	4	2	0	3	0	2	0	0	1	2	1	0	0	0	7	0	13	0	0	13	1	3	8	1	4	10	6	0	1	3	0	22	2	7	0	0	2	0	0	5	6	3	0	1	5	0	3	5	3	3	1	1	0	0	5	0	2	0	1	3	0	3	8	3	4	0	7	0	0	5	1	10	1	2	5	3	20	2	3	0	7	0	0	0	10	5	0	3	0	0	1	3	0	3	1	1	1	0	1	0	1	4	0	14	1	0	3	1	0	5	0	0	2	1	4	0	2	1	3	0	7	0	1	1	16	0	6	11	0	13	1	1	3	0	2	1	1	0	0	1	31	1	0	0	3	5	1	0	1	0	1	3	3	3	3	2	18	3	0	0	1	13	8	0	0	0	4	1	2	6	2	1	5	0	0	7	1	1	0	3	4	1	0	0	1	3	1	0	3	0	6	3	1	2	2	3	0	6	6	1	0	3	5	6	5	1	0	3	1	1	4	1	0	0	10	0	0	0	0	6	15	0	0	1	0	6	4	0	0	2	1	4	0	0	2	0	0	3	0	0	0	0	4	2	1	4	0	1	0	0	4	1	4	0	10	18	0	0	0	1	1	1	1	1	3	3	5	1	0	10	1	0	2	0	1	2	0	0	0	0	0	1	0	11	2	0	1	0	0	2	1	7	0	0	11	0	0	0	3	8	10	0	6	1	0	0	1	3	5	0	1	0	0	10	1	1	14	23	1	3	0	4	4	9	1	0	0	4	2	0	3	0	7	0	19	4	3	1	4	0	0	0	2	1	0	3	3	6	1	3	6	4	0	4	6	0	7	2	1	5	0	3	0	0	3	2	5	1	0	9	2	0	2	2	3	11	4	1	5	3	26	4	7	2	0	10	3	0	0	3	12	9	0	1	0	0	5	9	2	0	2	12	2	7	2	0	1
Jared Heal	0	1	1	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	8	3	0	0	1	0	10	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	10	1	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	4	0	0	0	0	0	0	0	4	1	5	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	1	0	0	0	0	2	4	0	0	0	0	0	0	5	0	0	0	0	1	0	1	0	3	0	0	0	0	0	2	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	3	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	10	0	0	0	0	0	0	2	0	2	0	2	6	0	0	0	0	0	0	4	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
On the Scratch Line	8	2	7	3	1	4	4	0	9	4	21	18	1	1	6	1	2	5	1	21	1	3	5	1	10	4	2	3	4	0	12	10	46	15	0	5	2	0	0	1	4	0	1	37	1	1	0	4	5	8	0	9	11	0	9	4	2	2	6	3	3	2	1	17	10	2	14	1	17	6	6	16	3	2	0	1	15	24	3	149	1	17	0	5	6	13	9	1	25	1	0	5	4	2	3	0	17	40	1	0	0	25	1	0	30	4	0	2	8	22	0	0	30	6	5	38	0	2	6	2	3	12	26	5	5	27	7	54	30	5	28	1	19	12	7	5	2	2	6	12	11	18	0	45	6	6	4	12	2	4	4	1	8	10	10	1	12	2	12	22	127	0	3	21	9	5	0	4	3	3	18	4	0	4	0	0	15	3	4	1	17	15	0	3	11	6	4	3	1	8	5	9	0	15	22	16	2	5	0	53	107	11	6	0	0	2	6	21	1	1	6	4	7	4	1	8	0	2	0	6	7	1	4	1	0	10	65	81	16	5	7	39	7	4	11	5	0	1	2	1	11	21	10	0	3	14	2	1	19	32	3	0	0	0	11	3	9	1	3	10	4	13	3	2	3	8	5	3	4	8	10	0	2	1	9	0	1	5	11	1	4	14	2	12	22	4	3	1	11	3	16	3	15	10	6	9	1	15	12	0	0	7	3	4	0	0	0	6	0	12	0	2	5	12	4	1	4	0	2	1	6	0	4	5	8	3	2	1	1	9	7	0	0	26	8	3	3	80	14	0	10	0	3	0	0	12	10	0	115	20	0	18	28	6	21	4	0	1	55	6	3	4	13	2	12	17	1	0	5	0	1	1	113	16	56	0	0	2	3	3	78	1	3	0	24	14	12	18	24	2	0	2	4	3	12	11	9	17	1	4	14	3	1	0	7	13	10	3	3	1	0	0	477	30	12	47	6	1	3	0	3	2	1	13	1	1	4	17	10	12	15	2	2	4	4	6	4	54	0	9	7	3	2	3	23	0	51	13	0	16	2	8	12	1	10	4	228	16	2	6	0	1	18	3	0	8	3	11	2	3	20	5	6	14	2	8	0	4	0	6	5	17	4	0	32	1	2	2	1	9	4	1	3	14	46	18	10	1	1	109
